datetime,username,content
2022-09-15 12:14:04+00:00,jokowi,"Bertemu para peternak kerbau Desa Werwaru di Pulau Moa, Kab. Maluku Barat Daya, siang tadi. Mereka mengeluhkan ketersediaan air di Pulau Moa yang membuat jumlah kerbau jadi jauh berkurang.

Saat itu juga, saya memerintahkan Menteri PUPR untuk membangun satu embung di setiap desa. https://t.co/1GeYEayw4Y"
2022-09-15 10:49:49+00:00,jokowi,"Pasar Rakyat Kalwedo di Kabupaten Maluku Barat Daya, sore ini. Saya datang bersama Ibu Negara untuk meninjau sekaligus memberikan bantuan sosial kepada para penerima manfaat yang ada di pasar ini. https://t.co/tELORXS7ci"
2022-09-15 09:56:14+00:00,jokowi,Termasuk dalam hal ini adalah pengamanan jalur-jalur laut kepulauan di Indonesia yang menjadi jalur bagi 60 persen perdagangan laut dunia.
2022-09-15 09:56:13+00:00,jokowi,"Dari Pantai Tiakur di Maluku Barat Daya, Pulau Leti terlihat di seberang. Pulau Leti ini berbatasan dengan Timor Leste. 

Melihat Maluku Barat Daya, Maluku Tenggara, Kepulauan Aru, dll, terasa benar pentingnya desain pertahanan dan keamanan negara di titik-titik terluar NKRI. https://t.co/gEwMqS4Vdq"
2022-09-15 06:05:41+00:00,jokowi,"Sampai hari ini, pemerintah telah membagikan bantuan langsung tunai BBM kepada 8.179.000 orang di 461 kab./kota. 

Pagi ini pun saya meninjau langsung penyerahan BLT BBM itu di Kantor Pos Dobo, Kepulauan Aru, Maluku. Semoga berdampak baik pada daya beli masyarakat. https://t.co/4HHPivjCrj"
2022-09-15 06:02:57+00:00,jokowi,"Saya tiba di Bandara Rar Gwamar, Kabupaten Kepulauan Aru, Maluku pagi ini dan langsung berkunjung ke Pasar Jargaria. Seperti biasa, saya berkeliling pasar seraya memberikan bantuan sosial kepada para penerima manfaat. https://t.co/wy28SI6bUU"
2022-09-15 03:28:53+00:00,jokowi,"Berkunjung ke Pasar Tual, Maluku, disambut keramaian warga yang begitu ramah dan antusias. Terima kasih warga Kota Tual. https://t.co/D21eOposnE"
2022-09-15 01:26:33+00:00,jokowi,"Pagi-pagi benar, saya dan Ibu Negara berkunjung ke Pasar Langgur di Kabupaten Maluku Tenggara. 

Suasana pasar sudah ramai di jam tujuh pagi saat saya meninjau sekaligus memberikan bantuan sosial kepada para penerima manfaat di pasar ini. https://t.co/YMJjaALwss"
2022-09-15 01:24:16+00:00,jokowi,"Budidaya rumput laut di Kota Tual sangat menjanjikan. Dalam satu musim para pembudidaya dapat empat kali panen dengan hasil rata-rata 400kg. Selain itu, kata para pembudidaya rumput laut di Kota Tual, harga rumput laut di pasaran saat ini cukup tinggi dibanding harga tahun lalu. https://t.co/8nUwWUQTnN"
2022-09-14 14:50:59+00:00,jokowi,Kendaraan bermotor juga akan diberikan kepada Bintara Pembina Desa (Babiinsa) di seluruh wilayah Indonesia. https://t.co/V0wM2qrRHw
2022-09-14 14:50:57+00:00,jokowi,"Penyerahan 40 unit kendaraan bermotor dari Kementerian Pertahanan kepada Kodim 1503/Tual, Kab. Maluku Tenggara, siang tadi.

Penyerahan kendaraan ini merupakan bagian dari rencana pertahanan jangka panjang di mana pembinaan dan pembangunan kekuatan teritorial sangat penting. https://t.co/qhFLurBC5F"
2022-09-14 14:16:32+00:00,jokowi,Sepanjang jalan sampai ke Pasar Tual ramai oleh masyarakat Kota Tual saat saya datang berkunjung sore tadi. Di pasar ini saya menyerahkan bantuan sosial kepada para pedagang pasar dan pedagang kaki lima. Semoga bermanfaat. https://t.co/06ZC8b9SNs
2022-09-14 14:14:56+00:00,jokowi,Pemerintah juga telah menyerahkan bantuan subsidi upah kepada 4.122.000 dari 16 juta penerima.
2022-09-14 14:14:56+00:00,jokowi,"Menyerahkan bantuan bantuan langsung tunai BBM, sembako, dan BLT bagi peserta program keluarga harapan (PKH) di Kantor Pos Tual, Kab. Maluku Tenggara, siang tadi.

Hingga saat ini, pemerintah telah menyalurkan BLT BBM kepada hampir 6 juta dari 20,6 juta penerima di 431 kab./kota. https://t.co/ROs58IP1YR"
2022-09-14 11:20:52+00:00,jokowi,"Panjang Jembatan Gantung Wear Fair 120m dan lebar 1,8m. Jembatan gantung dipilih agar bisa dibangun cepat dan sesuai kebutuhan masyarakat sekitar.

Pembangunan jembatan gantung adalah wujud komitmen pemerintah membangun infrastruktur yang merata ke seluruh pelosok Tanah Air."
